Rank       Bot                       Rating     Prog       Games     
1          BabyUltimate              2893       11         300       
2          FireFishBOT_v2            2888       4          1435      
3          ProteusSF-Godot           2882       0          557       
4          ToromBot                  2873       15         2936      
5          YoBot_v2                  2873       -1         3447      
6          LeelaMultiPoss            2867       2          235       
7          ResoluteBot               2839       0          10886     
8          Shineshou90_BOT           2822       -3         1690      
9          chessfyBOT                2819       -12        180       
10         RaspFish                  2774       19         10989     
11         blundar_bot               2771       1          929       
12         LazyBot                   2743       -20        2013      
13         AKS-Mantissa              2625       -9         9374      
14         expositor                 2590       -3         6883      
15         pawn_git                  2534       18         2300      
16         bot_adario                2482       2          2150      
17         Weiawaga                  2476       -8         11507     
18         catriever                 2472       4          628       
19         Cheng-4                   2458       -5         6425      
20         OpeningsBot               2455       5          704       
21         ELO_1500                  2422       10         12975     
22         TuksuBot                  2400       -4         3858      
23         odonata-bot               2399       17         5922      
24         Pseudo-0                  2391       7          2793      
25         Phalanx-XXV               2362       -11        2521      
26         fornax-engine             2352       -6         6402      
27         clueless-bot              2347       0          2793      
28         FlamingDragon_9000        2323       19         3331      
29         AjedrezChamberi           2294       110        255       
30         simpleEval                2250       9          14453     
31         halcyonbot                2244       6          9031      
32         Nakshatra3                2242       15         1538      
33         FataliiBot                2219       -9         6514      
34         HistoryExplorer           2186       9          2644      
35         Boris-Trapsky             2184       6          28003     
36         eubos                     2142       2          14085     
37         matmoi                    2142       -6         1213      
38         honzovy-sachy-2           2133       20         6668      
39         GarboBot                  2127       -1         9020      
40         jangine                   2125       25         3187      
41         LazyBotJr                 2111       -58        1664      
42         Hyperopic                 2087       5          2027      
43         redtail-zero              2064       -18        375       
44         Elmichess                 2011       -22        3517      
45         LeaMoreau                 2009       -11        318       
46         myopic-bot                2008       33         1745      
47         MaxtheDog                 1999       5          4185      
48         Humaia-Strong             1987       7          2367      
49         BLANK_BOT                 1977       -2         4607      
50         Jobabot                   1963       -2         223       
51         Lynx_BOT                  1952       -8         48466     
52         Nc3Nc6Bot                 1935       -33        1335      
53         zeekat                    1928       8          20201     
54         LeelaRogue                1893       -15        2323      
55         FlounderBot               1842       1          1529      
56         Demolito_L6               1840       -4         390       
57         DragonflyBOT              1837       2          1960      
58         baby_eubos                1825       5          7398      
59         Ptit-biscuit              1823       -13        536       
60         Trollfish-Bot             1822       22         1685      
61         likeawizard-bot           1806       -1         2151      
62         honzovy-sachy             1763       -15        4885      
63         notropis                  1751       -25        6311      
64         Fisk_Bot                  1748       14         1485      
65         Virutor                   1728       12         7323      
66         The_Marcus                1703       1          468       
67         Demolito_L5               1700       4          1058      
68         QueensGamBOT              1698       -8         2912      
69         NatesBot                  1697       47         52        
70         dlvc-bot                  1679       -10        1258      
71         melsh_bot                 1674       -16        1868      
72         AshNostromo               1663       -23        956       
73         yeoldwiz                  1647       15         1601      
74         sun_bird                  1638       40         150       
75         ChessChildren             1628       -8         21180     
76         maia9                     1622       6          99304     
77         Dummyette                 1543       1          2646      
78         maia5                     1542       -33        100184    
79         sargon-4ply               1524       14         1864      
80         ZE_ROOK                   1513       36         2617      
81         sargon-3ply               1502       11         1786      
82         DavidsGuterBot            1486       16         3452      
83         ChamberiAjedrez           1470       -106       321       
84         RoundMoundOfRebounds      1451       -5         1204      
85         maia1                     1415       -12        205890    
86         chat_bot                  1401       -48        246       
87         turochamp-2ply            1393       -19        1615      
88         StupidChessRobot          1391       16         908       
89         monchester                1386       11         2672      
90         Humaia                    1346       -4         869       
91         sargon-1ply               1274       -24        7780      
92         pawnrobot                 1271       -12        2007      
93         schnecken_bot             1269       7          1999      
94         sargon-2ply               1262       -13        2973      
95         turochamp-1ply            1262       8          1757      
96         dragobot                  1246       -77        71        
97         OhniBOT                   1194       10         315       
98         ABotWith3200Rating        1177       25         209       
99         HulkBot                   1137       -46        672       
100        bobandi                   1082       10         1126      
101        knucklefish               1074       -4         3155      
102        CHoMPBoT                  1069       -15        1623      
