Rank       Bot                       Rating     Prog       Games     
1          ProteusSF-Godot           2944       3          1417      
2          FireFishBOT_v2            2935       -3         381       
3          ToromBot                  2935       -6         60028     
4          ResoluteBot               2912       6          24883     
5          LeelaMultiPoss            2910       6          569       
6          BabyUltimate              2890       -15        1009      
7          YoBot_v2                  2874       0          17569     
8          RaspFish                  2857       5          50090     
9          bluefake                  2791       25         59        
10         chessfyBOT                2788       -8         1404      
11         LazyBot                   2701       -11        1405      
12         Shineshou90_BOT           2699       -3         8096      
13         blundar_bot               2697       0          5133      
14         expositor                 2537       -10        19426     
15         FlamingDragon_9000        2524       -5         10619     
16         AKS-Mantissa              2507       6          10493     
17         Elmichess                 2497       -14        3203      
18         Cheng-4                   2470       -5         13367     
19         bot_adario                2463       3          2426      
20         Weiawaga                  2423       22         15156     
21         pawn_git                  2410       -3         3877      
22         catriever                 2407       -2         1513      
23         OpeningsBot               2402       -1         530       
24         clueless-bot              2392       -7         7143      
25         odonata-bot               2380       10         6194      
26         Phalanx-XXV               2365       2          4039      
27         TuksuBot                  2356       15         6708      
28         AjedrezChamberi           2341       13         526       
29         fornax-engine             2330       0          6805      
30         Pseudo-0                  2325       7          3803      
31         ELO_1500                  2308       34         3208      
32         FataliiBot                2265       4          5649      
33         simpleEval                2264       15         24910     
34         halcyonbot                2247       -3         5121      
35         Nakshatra3                2230       -17        1471      
36         HistoryExplorer           2200       0          2470      
37         honzovy-sachy-2           2187       -25        6914      
38         eubos                     2158       18         12436     
39         matmoi                    2153       -19        1655      
40         Hyperopic                 2149       9          2152      
41         GarboBot                  2101       -15        9416      
42         LazyBotJr                 2094       1          869       
43         jangine                   2085       1          2862      
44         redtail-zero              2078       -6         498       
45         Humaia-Strong             2073       78         1306      
46         LeaMoreau                 2054       3          411       
47         myopic-bot                2027       -17        1760      
48         MaxtheDog                 2008       9          13811     
49         BLANK_BOT                 1999       -1         7217      
50         Trollfish-Bot             1975       -6         3323      
51         Jobabot                   1967       6          362       
52         Lynx_BOT                  1962       8          6304      
53         zeekat                    1955       12         18273     
54         Nc3Nc6Bot                 1935       1          1011      
55         Demolito_L6               1904       0          291       
56         Ptit-biscuit              1863       1          663       
57         likeawizard-bot           1843       1          853       
58         DragonflyBOT              1842       10         2014      
59         FlounderBot               1832       -24        3223      
60         QueensGamBOT              1832       6          5021      
61         notropis                  1791       -10        3750      
62         honzovy-sachy             1781       -4         4878      
63         Demolito_L5               1779       -25        728       
64         Virutor                   1762       -1         6661      
65         ChessChildren             1747       9          15316     
66         baby_eubos                1744       -15        5254      
67         The_Marcus                1743       7          607       
68         Fisk_Bot                  1740       10         225       
69         melsh_bot                 1732       25         4044      
70         dlvc-bot                  1685       46         178       
71         Humaia                    1682       78         405       
72         rudim-bot                 1680       10         155       
73         maia1                     1666       11         122746    
74         maia5                     1648       8          39111     
75         maia9                     1626       -15        60615     
76         ZE_ROOK                   1615       -11        1761      
77         DavidsGuterBot            1608       -5         6027      
78         sargon-3ply               1582       16         1241      
79         sargon-4ply               1569       -1         1610      
80         turochamp-2ply            1549       -5         1479      
81         RoundMoundOfRebounds      1505       -1         1281      
82         sargon-2ply               1499       24         2156      
83         turochamp-1ply            1492       -13        1834      
84         monchester                1490       -5         2389      
85         yeoldwiz                  1450       18         791       
86         StupidChessRobot          1417       -2         432       
87         botTideEval               1402       5          1217      
88         schnecken_bot             1387       -22        968       
89         sargon-1ply               1369       4          4305      
90         OhniBOT                   1327       28         492       
91         CHoMPBoT                  1299       3          956       
92         HulkBot                   1292       -43        1185      
93         pawnrobot                 1277       5          3801      
94         ABotWith3200Rating        1267       -4         132       
95         knucklefish               1261       -9         2735      
96         bobandi                   1221       -13        1078      
