Rank       Bot                       Rating     Prog       Games     
1          ResoluteBot               2150       -3         992       
2          YoBot_v2                  2113       -6         1335      
3          ToromBot                  2109       -12        654       
4          Shineshou90_BOT           2099       4          541       
5          RaspFish                  2061       0          825       
6          OpeningsBot               1798       6          623       
7          Cheng-4                   1709       15         1060      
8          clueless-bot              1558       -14        542       
9          FataliiBot                1406       7          3837      
10         Demolito_L6               1099       -20        96        
11         Dummyette                 1097       -45        740       
12         Demolito_L5               1071       51         251       
13         botTideEval               980        12         36        
14         pawnrobot                 860        -7         476       
