Rank       Bot                       Rating     Prog       Games     
1          LeelaMultiPoss            2595       24         30        
2          YoBot_v2                  2592       6          209       
3          ProteusSF-Godot           2575       2          137       
4          Shineshou90_BOT           2568       -2         205       
5          RaspFish                  2561       9          498       
6          ResoluteBot               2551       29         575       
7          BabyUltimate              2481       223        18        
8          AKS-Mantissa              2385       -19        984       
9          ELO_1500                  2382       -8         95        
10         expositor                 2377       -8         1096      
11         LazyBot                   2342       6          194       
12         pawn_git                  2326       -7         191       
13         Cheng-4                   2301       18         1518      
14         catriever                 2261       0          149       
15         Weiawaga                  2256       3          5613      
16         FlamingDragon_9000        2238       -18        514       
17         clueless-bot              2143       17         342       
18         TuksuBot                  2143       -4         967       
19         Pseudo-0                  2132       1          398       
20         Phalanx-XXV               2094       -32        351       
21         Boris-Trapsky             2072       -6         10348     
22         simpleEval                2071       -14        1829      
23         honzovy-sachy-2           2001       -9         688       
24         eubos                     1963       -20        717       
25         Humaia-Strong             1961       -25        216       
26         HistoryExplorer           1954       21         180       
27         MaxtheDog                 1954       -6         175       
28         Nakshatra3                1950       74         162       
29         jangine                   1949       -17        270       
30         GarboBot                  1924       -5         1679      
31         Lynx_BOT                  1913       14         799       
32         Elmichess                 1910       9          415       
33         zeekat                    1875       1          3019      
34         baby_eubos                1873       51         93        
35         AjedrezChamberi           1862       -14        61        
36         LazyBotJr                 1842       29         186       
37         LeelaRogue                1794       3          621       
38         Demolito_L5               1772       -46        43        
39         Nc3Nc6Bot                 1768       5          22        
40         ChessChildren             1712       4          1172      
41         Virutor                   1708       -18        614       
42         HulkBot                   1684       -91        242       
43         sargon-3ply               1665       56         733       
44         sargon-4ply               1663       27         422       
45         notropis                  1653       34         111       
46         turochamp-2ply            1647       -8         748       
47         honzovy-sachy             1635       2          284       
48         maia9                     1625       7          20728     
49         maia1                     1620       7          64076     
50         chat_bot                  1601       29         42        
51         yeoldwiz                  1587       11         306       
52         DragonflyBOT              1583       -23        201       
53         maia5                     1569       6          22824     
54         ZE_ROOK                   1558       20         103       
55         Dummyette                 1554       19         581       
56         Trollfish-Bot             1541       6          28        
57         Humaia                    1482       -34        1054      
58         sargon-2ply               1445       20         1210      
59         turochamp-1ply            1387       17         799       
60         RoundMoundOfRebounds      1359       -10        118       
61         sargon-1ply               1349       -8         3265      
62         kireevi                   1348       -38        242       
63         ABotWith3200Rating        1265       -109       79        
64         bobandi                   1134       12         178       
65         CHoMPBoT                  1134       -8         176       
66         G0thamB0t                 949        -4         139       
