Rank       Bot                       Rating     Prog       Games     
1          FireFishBOT_v2            2891       12         616       
2          ProteusSF-Godot           2888       13         138       
3          ToromBot                  2886       1          1806      
4          BabyUltimate              2870       15         100       
5          ReinforcementTrial        2869       6          5090      
6          YoBot_v2                  2866       -2         12924     
7          LeelaMultiPoss            2855       5          247       
8          Shineshou90_BOT           2854       -2         2503      
9          chessfyBOT                2845       -7         228       
10         ResoluteBot               2839       -5         5162      
11         RaspFish                  2819       -6         5471      
12         blundar_bot               2808       9          1032      
13         AKS-Mantissa              2609       -6         4034      
14         expositor                 2605       -5         4517      
15         LazyBot                   2598       -23        721       
16         pawn_git                  2560       7          1225      
17         catriever                 2551       8          187       
18         Weiawaga                  2522       -14        9799      
19         bot_adario                2499       12         1310      
20         Cheng-4                   2468       16         3135      
21         ELO_1500                  2439       19         2879      
22         OpeningsBot               2436       -9         227       
23         TuksuBot                  2418       -14        1961      
24         odonata-bot               2390       -12        3697      
25         Pseudo-0                  2370       -1         1078      
26         Phalanx-XXV               2369       -22        864       
27         clueless-bot              2365       -9         744       
28         fornax-engine             2335       15         3632      
29         FlamingDragon_9000        2309       -12        1216      
30         simpleEval                2281       7          7509      
31         FataliiBot                2273       2          2554      
32         Nakshatra3                2273       20         818       
33         halcyonbot                2260       8          5993      
34         Boris-Trapsky             2221       -28        27364     
35         eubos                     2216       10         4204      
36         honzovy-sachy-2           2205       10         3548      
37         Elmichess                 2163       11         1413      
38         HistoryExplorer           2156       -3         1010      
39         matmoi                    2120       10         1129      
40         GarboBot                  2097       7          5963      
41         redtail-zero              2088       12         249       
42         jangine                   2081       9          1658      
43         Hyperopic                 2079       2          350       
44         MaxtheDog                 2052       2          626       
45         LeaMoreau                 2048       -12        310       
46         Lynx_BOT                  2045       -6         39531     
47         AjedrezChamberi           2044       -9         114       
48         Humaia-Strong             2043       -30        606       
49         BLANK_BOT                 1999       19         1517      
50         Jobabot                   1974       26         88        
51         LazyBotJr                 1974       -29        1254      
52         Nc3Nc6Bot                 1963       -23        1513      
53         LeelaRogue                1957       -14        2210      
54         myopic-bot                1944       6          320       
55         zeekat                    1932       13         8213      
56         baby_eubos                1930       -20        884       
57         likeawizard-bot           1872       -38        474       
58         Demolito_L6               1862       24         241       
59         Ptit-biscuit              1858       -8         84        
60         notropis                  1856       4          2212      
61         Trollfish-Bot             1847       -34        173       
62         Fisk_Bot                  1813       -19        224       
63         FlounderBot               1809       8          143       
64         Virutor                   1781       -32        3164      
65         honzovy-sachy             1779       16         914       
66         ChessChildren             1771       20         4383      
67         sun_bird                  1766       -108       24        
68         DragonflyBOT              1758       -23        430       
69         Demolito_L5               1741       3          736       
70         dlvc-bot                  1736       -7         80        
71         AshNostromo               1732       -22        1216      
72         NatesBot                  1718       -34        29        
73         melsh_bot                 1708       -18        232       
74         The_Marcus                1697       78         32        
75         Dummyette                 1678       23         2923      
76         maia9                     1675       31         83035     
77         HulkBot                   1666       -32        404       
78         yeoldwiz                  1637       16         634       
79         maia5                     1607       -9         100334    
80         sargon-3ply               1570       14         1156      
81         sargon-4ply               1559       6          574       
82         ZE_ROOK                   1521       21         396       
83         dragobot                  1517       -127       44        
84         turochamp-2ply            1501       3          1071      
85         DavidsGuterBot            1484       18         597       
86         maia1                     1477       -22        229396    
87         RoundMoundOfRebounds      1447       21         342       
88         sargon-2ply               1429       -7         3301      
89         turochamp-1ply            1401       7          1554      
90         StupidChessRobot          1360       -18        35        
91         Humaia                    1359       9          2153      
92         chat_bot                  1338       10         209       
93         pawnrobot                 1269       -11        620       
94         ABotWith3200Rating        1238       10         59        
95         schnecken_bot             1226       21         323       
96         sargon-1ply               1185       -17        8389      
97         CHoMPBoT                  1164       17         495       
98         OhniBOT                   1155       12         465       
99         kireevi                   1120       41         559       
100        bobandi                   867        22         706       
101        G0thamB0t                 767        -10        289       
