Rank       Bot                       Rating     Prog       Games     
1          VariantsBot               3021       0          6982      
2          ToromBot                  2876       -37        140       
3          FireFishBOT               2794       -63        58        
4          RaspFish                  2727       1          393       
5          faith_bot                 2420       6          65        
6          NilatacBot                2284       16         3371      
7          OpeningsBot               2193       -15        1519      
8          anti-bot                  2143       -2         45663     
9          CatNail                   1996       7          18802     
10         pawnrobot                 1859       3          1635      
