Rank       Bot                       Rating     Prog       Games     
1          Anand_bot                 2987       4          1537      
2          FireFishBOT_v2            2903       -4         505       
3          ReinforcementTrial        2901       4          179       
4          ResoluteBot               2876       -2         25198     
5          YoBot_v2                  2866       -5         17679     
6          RaspberryIsFishy          2854       14         32        
7          Nikitosik-ai              2847       -2         2181      
8          ProteusSF-Godot           2834       6          1546      
9          Mr_Chess_Berserk          2829       -14        73        
10         chessfyBOT                2788       -8         1404      
11         RaspFish                  2788       -15        51088     
12         Palisade                  2760       23         435       
13         blundar_bot               2717       14         5305      
14         LazyBot                   2701       -13        1408      
15         FrozenightEngine          2608       -17        8554      
16         Shineshou90_BOT           2608       23         8342      
17         FlamingDragon_9000        2524       -5         10619     
18         Elmichess                 2484       -7         3206      
19         SaxtonEngine              2472       -1         4022      
20         Cheng-4                   2467       2          13574     
21         bot_adario                2466       3          2521      
22         pawn_git                  2458       -3         4007      
23         AjatarBot                 2449       0          283       
24         catriever                 2427       11         1618      
25         Weiawaga                  2411       8          15339     
26         bfiedler-bot              2407       -88        78        
27         OpeningsBot               2403       38         708       
28         ELO_1500                  2361       35         3223      
29         odonata-bot               2356       4          6282      
30         AjedrezChamberi           2352       15         529       
31         clueless-bot              2349       -8         7406      
32         Pseudo-0                  2347       7          3884      
33         frogskittens_thebot       2343       22         23        
34         TuksuBot                  2339       -8         6796      
35         Phalanx-XXV               2334       -8         4203      
36         fornax-engine             2320       -2         6862      
37         Nakshatra3                2305       21         1571      
38         simpleEval                2294       19         25038     
39         theBotThatLearns          2264       19         21        
40         FataliiBot                2258       0          5756      
41         halcyonbot                2253       5          5276      
42         WasterNew                 2186       13         262       
43         jangine                   2165       11         2992      
44         Hyperopic                 2161       9          2798      
45         honzovy-sachy-2           2154       9          7049      
46         WilliamEngine             2149       -1         163       
47         kulubot                   2141       -6         1003      
48         matmoi                    2135       -24        1921      
49         GarboBot                  2133       -10        9526      
50         myopic-bot                2121       -4         1856      
51         eubos                     2119       6          12660     
52         LazyBotJr                 2111       67         888       
53         Humaia-Strong             2089       94         1307      
54         LeaMoreau                 2070       -4         557       
55         Jobabot                   2039       16         522       
56         MaxtheDog                 2030       -25        14174     
57         Trollfish-Bot             2014       -24        3683      
58         Nc3Nc6Bot                 2011       17         1171      
59         redtail-zero              2011       -23        564       
60         Lynx_BOT                  1997       -19        6478      
61         BLANK_BOT                 1964       7          7327      
62         zeekat                    1933       15         18563     
63         likeawizard-bot           1908       19         1053      
64         FlounderBot               1890       5          3652      
65         Demolito_L6               1886       -3         376       
66         Ptit-biscuit              1867       1          769       
67         NatesBot                  1839       17         85        
68         notropis                  1836       -3         3831      
69         DragonflyBOT              1819       -3         2072      
70         Demolito_L5               1816       2          827       
71         QueensGamBOT              1814       -19        5082      
72         The_Marcus                1780       -15        805       
73         melsh_bot                 1775       24         4185      
74         honzovy-sachy             1771       -26        4943      
75         Virutor                   1771       8          6732      
76         baby_eubos                1757       13         5410      
77         Fisk_Bot                  1740       10         225       
78         ArduChessBot              1727       -12        5466      
79         piglet_engine             1689       13         470       
80         dlvc-bot                  1685       46         178       
81         Humaia                    1682       78         405       
82         rudim-bot                 1680       10         155       
83         ChessChildren             1656       -15        15387     
84         maia9                     1641       22         60840     
85         TuroBot                   1640       -26        2551      
86         ZE_ROOK                   1608       -15        1861      
87         sargon-4ply               1584       -4         1657      
88         DavidsGuterBot            1582       -26        6127      
89         maia5                     1582       -25        39242     
90         sargon-3ply               1579       -16        1278      
91         maia1                     1574       -31        123230    
92         turochamp-2ply            1562       11         1517      
93         monchester                1540       20         2461      
94         RoundMoundOfRebounds      1520       10         1303      
95         turochamp-1ply            1496       -20        1881      
96         dragobot                  1484       150        48        
97         sargon-2ply               1474       -10        2214      
98         yeoldwiz                  1450       18         791       
99         schnecken_bot             1397       -7         1013      
100        botTideEval               1373       11         1425      
101        StupidChessRobot          1367       -19        535       
102        CHoMPBoT                  1361       -16        991       
103        sargon-1ply               1352       10         4396      
104        OhniBOT                   1343       48         494       
105        pawnrobot                 1285       -2         3857      
106        knucklefish               1249       -30        2765      
