Rank       Bot                       Rating     Prog       Games     
1          Viet-BOT                  2533       55         28        
2          Nikitosikbot              2425       -3         184       
3          misteick_bot              2127       -44        140       
4          Jibbby                    1946       -72        85        
5          zeekat                    1941       -8         409       
6          Virutor                   1934       40         86        
7          ChessChildren             1856       61         272       
8          yeoldwiz                  1812       -16        557       
9          G0thamB0t                 1303       -34        134       
10         grandQ_AI                 1014       -4         529       
