Rank       Bot                       Rating     Prog       Games     
1          ProteusSF-Aureo           2909       12         23        
2          ProteusSF-Godot           2897       2          195       
3          FireFishBOT_v2            2894       -5         747       
4          YoBot_v2                  2890       -3         13149     
5          ttBOT                     2887       10         165       
6          FireFishBOT               2883       -1         1098      
7          ReinforcementTrial        2878       0          5335      
8          TorBot_v2                 2877       6          222       
9          ResoluteBot               2866       1          5352      
10         ArasanX                   2861       3          5731      
11         Mate-AI                   2858       -36        2490      
12         RaspFish                  2854       3          5754      
13         blundar_bot               2823       1          1158      
14         Mr_Chess_Berserk          2806       11         84        
15         FrozenightEngine          2642       -4         5089      
16         ELO_1500                  2641       -2         3156      
17         AKS-Mantissa              2627       -8         4158      
18         expositor                 2613       4          4662      
19         pawn_git                  2583       14         1316      
20         LazyBot                   2578       -30        748       
21         Cheng-4                   2558       8          3225      
22         bot_adario                2557       7          1401      
23         Weiawaga                  2553       11         10117     
24         catriever                 2522       -2         312       
25         OpeningsBot               2454       -7         367       
26         TuksuBot                  2392       13         2089      
27         Pseudo-0                  2377       -8         1173      
28         Phalanx-XXV               2374       -4         978       
29         odonata-bot               2366       11         3806      
30         fornax-engine             2363       6          3743      
31         admete_bot                2358       -3         4305      
32         RavenEngine               2355       14         424       
33         Rinestro                  2339       23         57        
34         simpleEval                2319       9          7725      
35         FlamingDragon_9000        2309       -12        1216      
36         bekbot                    2282       2          1247      
37         halcyonbot                2250       0          6629      
38         Nakshatra3                2243       -23        893       
39         SimplerEval               2227       16         1895      
40         FataliiBot                2216       7          2682      
41         eubos                     2210       -10        4306      
42         Elmichess                 2171       16         1418      
43         Lynx_BOT                  2164       9          40118     
44         Boris-Trapsky             2159       13         27697     
45         honzovy-sachy-2           2152       -34        3631      
46         GarboBot                  2148       19         6131      
47         matmoi                    2111       9          1811      
48         MaxtheDog                 2108       11         740       
49         redtail-zero              2090       -4         416       
50         jangine                   2069       -5         1791      
51         YourSparringBot           2060       -40        149       
52         likeawizard-bot           2056       3          981       
53         AjedrezChamberi           2036       -33        130       
54         Zagreus_Engine            2013       -7         1974      
55         LeelaRogue                1989       -7         2343      
56         Nc3Nc6Bot                 1985       -6         1899      
57         BLANK_BOT                 1967       -4         1667      
58         LazyBotJr                 1956       8          1276      
59         zeekat                    1951       12         8727      
60         sun_bird                  1907       37         58        
61         baby_eubos                1897       -27        1016      
62         Demolito_L6               1892       21         795       
63         NatesBot                  1863       -5         485       
64         notropis                  1846       5          2459      
65         Trollfish-Bot             1823       -8         299       
66         honzovy-sachy             1794       15         1006      
67         ShallowRedBot             1792       98         25        
68         Virutor                   1781       -16        3252      
69         The_Marcus                1781       11         157       
70         zulu_bot                  1776       3          110       
71         maia9                     1754       -6         86489     
72         ChessChildren             1732       -16        4511      
73         Demolito_L5               1724       6          1387      
74         dlvc-bot                  1716       -18        88        
75         AshNostromo               1712       -24        1264      
76         ZE_ROOK                   1670       13         569       
77         maia5                     1644       18         103458    
78         turkjs                    1638       -8         5127      
79         simplexitor               1636       14         507       
80         yeoldwiz                  1618       5          668       
81         HardRok                   1591       39         729       
82         arny_bot                  1568       -32        27        
83         dragobot                  1561       2          90        
84         GuineaBot3                1557       -95        16        
85         DavidsGuterBot            1544       5          660       
86         sargon-3ply               1530       -25        1210      
87         sargon-4ply               1526       -20        653       
88         maia1                     1512       6          235055    
89         RoundMoundOfRebounds      1490       13         369       
90         turochamp-2ply            1467       -21        1108      
91         RavenEngine_Depth2        1423       41         26        
92         StupidChessRobot          1416       26         62        
93         turochamp-1ply            1410       28         1615      
94         czesc-bot                 1403       -133       85        
95         sargon-2ply               1346       -21        3375      
96         Mate_Bot                  1312       36         57        
97         chat_bot                  1300       -18        261       
98         sargon-1ply               1269       44         8604      
99         pawnrobot                 1249       -17        731       
100        schnecken_bot             1232       7          336       
101        ABotWith3200Rating        1208       -21        92        
102        kireevi                   1113       4          579       
103        bobandi                   982        29         750       
104        grandQ_AI                 785        37         1641      
105        B4ux1t3s-Bot              728        -39        82        
106        G0thamB0t                 686        10         381       
