Rank       Bot                       Rating     Prog       Games     
1          VariantsBot               2759       -5         2110      
2          FireFishBOT               2680       -56        23        
3          RaspFish                  2533       -16        219       
4          ToromBot                  2520       -3         329       
5          EmptikBot                 2479       -19        92        
6          faith_bot                 2447       -41        26        
7          SimplerEval               2138       -41        500       
8          OpeningsBot               1782       8          67        
9          DavidsGuterBot            1477       8          614       
10         pawnrobot                 1173       -21        914       
