Rank       Bot                       Rating     Prog       Games     
1          VariantsBot               3021       0          6982      
2          ToromBot                  2926       41         120       
3          Nikitosikbot              2812       -42        516       
4          RaspFish                  2738       3          343       
5          YoBot_v2                  2565       26         116       
6          Nakshatra3                2520       -43        1293      
7          ResoluteBot               2455       12         37        
8          NilatacBot                2318       -18        3248      
9          OpeningsBot               2284       2          1055      
10         anti-bot                  2165       -26        45340     
11         CatNail                   2032       -2         18555     
12         pawnrobot                 1916       20         1484      
13         FlamingDragon_9000        1597       0          3         
14         bluefake                  1475       0          1         
15         GuineaBot3                1297       0          1         
16         bobandi                   719        0          5         
17         SxRandom                  624        -27        17        
18         SxCapture                 600        0          79        
