Rank       Bot                       Rating     Prog       Games     
1          VariantsBot               2714       -19        3666      
2          ToromBot                  2664       1          288       
3          Nikitosikbot              2613       8          1597      
4          RaspFish                  2536       -22        562       
5          ResoluteBot               2525       -36        38        
6          YoBot_v2                  2243       24         52        
7          OpeningsBot               1701       73         22        
8          pawnrobot                 1388       -4         813       
9          FlamingDragon_9000        1331       0          1         
10         DavidsGuterBot            1287       0          2         
11         GuineaBot3                1215       0          4         
12         SxRandom                  903        -35        42        
13         bobandi                   712        0          5         
14         SxCapture                 658        -13        496       
