Rank       Bot                       Rating     Prog       Games     
1          caissa-ai                 3077       -9         4069      
2          ProteusSF                 3010       5          1372      
3          ProteusSF-lite            3002       3          2112      
4          ProteusSF-Open            3000       3          2303      
5          ProteusSF-Turbo           3000       -1         1595      
6          BabyUltimate              2893       11         300       
7          FireFishBOT_v2            2888       4          1435      
8          ProteusSF-Godot           2882       0          557       
9          ToromBot                  2873       15         2936      
10         YoBot_v2                  2873       -1         3447      
11         LeelaMultiPoss            2867       2          235       
12         ResoluteBot               2839       0          10886     
13         Nikitosikbot              2834       -1         5825      
14         Shineshou90_BOT           2822       -3         1690      
15         chessfyBOT                2819       -12        180       
16         caissa-test               2812       -68        39        
17         RaspFish                  2774       19         10989     
18         blundar_bot               2771       1          929       
19         ReinforcementTrial        2752       21         71        
20         LazyBot                   2743       -20        2013      
21         CodingAdventureBot        2681       0          3192      
22         bluefake                  2650       0          5         
23         AKS-Mantissa              2625       -9         9374      
24         expositor                 2590       -3         6883      
25         pawn_git                  2534       18         2300      
26         bot_adario                2482       2          2150      
27         Weiawaga                  2476       -8         11507     
28         catriever                 2472       4          628       
29         Cheng-4                   2458       -5         6425      
30         OpeningsBot               2455       5          704       
31         ELO_1500                  2422       10         12975     
32         TuksuBot                  2400       -4         3858      
33         odonata-bot               2399       17         5922      
34         Pseudo-0                  2391       7          2793      
35         Phalanx-XXV               2362       -11        2521      
36         fornax-engine             2352       -6         6402      
37         clueless-bot              2347       0          2793      
38         FlamingDragon_9000        2323       19         3331      
39         AjedrezChamberi           2294       110        255       
40         simpleEval                2250       9          14453     
41         bfiedler-bot              2244       -88        30        
42         halcyonbot                2244       6          9031      
43         Nakshatra3                2242       15         1538      
44         rudim-bot                 2227       -256       39        
45         FataliiBot                2219       -9         6514      
46         QuaviverBot               2193       0          3         
47         HistoryExplorer           2186       9          2644      
48         Boris-Trapsky             2184       6          28003     
49         eubos                     2142       2          14085     
50         matmoi                    2142       -6         1213      
51         honzovy-sachy-2           2133       20         6668      
52         GarboBot                  2127       -1         9020      
53         jangine                   2125       25         3187      
54         LazyBotJr                 2111       -58        1664      
55         Hyperopic                 2087       5          2027      
56         redtail-zero              2064       -18        375       
57         Elmichess                 2011       -22        3517      
58         LeaMoreau                 2009       -11        318       
59         myopic-bot                2008       33         1745      
60         actual_magnus             2000       0          0         
61         Annie_Archy               2000       0          0         
62         botTideEval               2000       0          0         
63         charibot                  2000       0          0         
64         DonoChessBot              2000       0          0         
65         LilDoctorJank             2000       0          0         
66         StreamerVSChat            2000       0          0         
67         MaxtheDog                 1999       5          4185      
68         Humaia-Strong             1987       7          2367      
69         BLANK_BOT                 1977       -2         4607      
70         Jobabot                   1963       -2         223       
71         Lynx_BOT                  1952       -8         48466     
72         Nc3Nc6Bot                 1935       -33        1335      
73         zeekat                    1928       8          20201     
74         LeelaRogue                1893       -15        2323      
75         FlounderBot               1842       1          1529      
76         Demolito_L6               1840       -4         390       
77         DragonflyBOT              1837       2          1960      
78         baby_eubos                1825       5          7398      
79         Ptit-biscuit              1823       -13        536       
80         Trollfish-Bot             1822       22         1685      
81         likeawizard-bot           1806       -1         2151      
82         honzovy-sachy             1763       -15        4885      
83         notropis                  1751       -25        6311      
84         Fisk_Bot                  1748       14         1485      
85         Virutor                   1728       12         7323      
86         The_Marcus                1703       1          468       
87         ChotEngine                1701       0          2         
88         Demolito_L5               1700       4          1058      
89         QueensGamBOT              1698       -8         2912      
90         NatesBot                  1697       47         52        
91         dlvc-bot                  1679       -10        1258      
92         melsh_bot                 1674       -16        1868      
93         AshNostromo               1663       -23        956       
94         yeoldwiz                  1647       15         1601      
95         KnightlessKid             1641       -12        268       
96         sun_bird                  1638       40         150       
97         ChessChildren             1628       -8         21180     
98         maia9                     1622       6          99304     
99         Dummyette                 1543       1          2646      
100        maia5                     1542       -33        100184    
101        sargon-4ply               1524       14         1864      
102        ZE_ROOK                   1513       36         2617      
103        sargon-3ply               1502       11         1786      
104        anti-bot                  1500       0          0         
105        CatNail                   1500       0          0         
106        Lurch_0                   1500       0          0         
107        Lurch_1                   1500       0          0         
108        NilatacBot                1500       0          0         
109        sixteen-sixty             1500       0          0         
110        VariantsBot               1500       0          0         
111        WorstFish                 1500       0          0         
112        DavidsGuterBot            1486       16         3452      
113        feeks99                   1476       11         210       
114        ChamberiAjedrez           1470       -106       321       
115        RoundMoundOfRebounds      1451       -5         1204      
116        maia1                     1415       -12        205890    
117        chat_bot                  1401       -48        246       
118        turochamp-2ply            1393       -19        1615      
119        StupidChessRobot          1391       16         908       
120        monchester                1386       11         2672      
121        Humaia                    1346       -4         869       
122        G0thamB0t                 1319       0          2         
123        sargon-1ply               1274       -24        7780      
124        pawnrobot                 1271       -12        2007      
125        schnecken_bot             1269       7          1999      
126        kireevi                   1264       0          1         
127        sargon-2ply               1262       -13        2973      
128        turochamp-1ply            1262       8          1757      
129        dragobot                  1246       -77        71        
130        TurtleBot                 1221       -16        7085      
131        OhniBOT                   1194       10         315       
132        ABotWith3200Rating        1177       25         209       
133        HulkBot                   1137       -46        672       
134        GuineaBot3                1135       0          4         
135        SxCapture                 1121       24         293       
136        bobandi                   1082       10         1126      
137        knucklefish               1074       -4         3155      
138        CHoMPBoT                  1069       -15        1623      
139        SxRandom                  893        5          24        
140        LISEBOT                   806        -38        44        
141        JustinBot                 543        -33        13        
