Rank       Bot                       Rating     Prog       Games     
1          caissa-ai                 3128       -35        18655     
2          Nikitosikbot              3014       -9         20929     
3          ProteusSF                 3006       7          1236      
4          ProteusSF-lite            3003       3          1650      
5          ProteusSF-Turbo           3002       -1         1300      
6          ProteusSF-Open            3000       3          1670      
7          ProteusSF-Godot           2944       3          1417      
8          FireFishBOT_v2            2935       -3         381       
9          ToromBot                  2935       -6         60028     
10         ResoluteBot               2912       6          24883     
11         LeelaMultiPoss            2910       6          569       
12         BabyUltimate              2890       -15        1009      
13         CodingAdventureBot        2876       3          2023      
14         YoBot_v2                  2874       0          17569     
15         RaspFish                  2857       5          50090     
16         caissa-test               2839       -5         1392      
17         bluefake                  2791       25         59        
18         chessfyBOT                2788       -8         1404      
19         LazyBot                   2701       -11        1405      
20         Shineshou90_BOT           2699       -3         8096      
21         blundar_bot               2697       0          5133      
22         ReinforcementTrial        2655       0          4         
23         expositor                 2537       -10        19426     
24         FlamingDragon_9000        2524       -5         10619     
25         AKS-Mantissa              2507       6          10493     
26         bfiedler-bot              2497       41         73        
27         Elmichess                 2497       -14        3203      
28         Cheng-4                   2470       -5         13367     
29         bot_adario                2463       3          2426      
30         Weiawaga                  2423       22         15156     
31         pawn_git                  2410       -3         3877      
32         catriever                 2407       -2         1513      
33         OpeningsBot               2402       -1         530       
34         clueless-bot              2392       -7         7143      
35         odonata-bot               2380       10         6194      
36         Phalanx-XXV               2365       2          4039      
37         TuksuBot                  2356       15         6708      
38         AjedrezChamberi           2341       13         526       
39         fornax-engine             2330       0          6805      
40         Pseudo-0                  2325       7          3803      
41         ELO_1500                  2308       34         3208      
42         FataliiBot                2265       4          5649      
43         simpleEval                2264       15         24910     
44         halcyonbot                2247       -3         5121      
45         Nakshatra3                2230       -17        1471      
46         VariantsBot               2212       0          2         
47         HistoryExplorer           2200       0          2470      
48         honzovy-sachy-2           2187       -25        6914      
49         eubos                     2158       18         12436     
50         matmoi                    2153       -19        1655      
51         Hyperopic                 2149       9          2152      
52         GarboBot                  2101       -15        9416      
53         LazyBotJr                 2094       1          869       
54         jangine                   2085       1          2862      
55         redtail-zero              2078       -6         498       
56         Humaia-Strong             2073       78         1306      
57         LeaMoreau                 2054       3          411       
58         myopic-bot                2027       -17        1760      
59         MaxtheDog                 2008       9          13811     
60         actual_magnus             2000       0          0         
61         Annie_Archy               2000       0          0         
62         AshNostromo               2000       0          0         
63         charibot                  2000       0          0         
64         chat_bot                  2000       0          0         
65         ChotEngine                2000       0          0         
66         DonoChessBot              2000       0          0         
67         LilDoctorJank             2000       0          0         
68         QuaviverBot               2000       0          0         
69         StreamerVSChat            2000       0          0         
70         BLANK_BOT                 1999       -1         7217      
71         Trollfish-Bot             1975       -6         3323      
72         Jobabot                   1967       6          362       
73         Lynx_BOT                  1962       8          6304      
74         zeekat                    1955       12         18273     
75         Nc3Nc6Bot                 1935       1          1011      
76         Demolito_L6               1904       0          291       
77         Ptit-biscuit              1863       1          663       
78         likeawizard-bot           1843       1          853       
79         DragonflyBOT              1842       10         2014      
80         FlounderBot               1832       -24        3223      
81         QueensGamBOT              1832       6          5021      
82         notropis                  1791       -10        3750      
83         honzovy-sachy             1781       -4         4878      
84         Demolito_L5               1779       -25        728       
85         Virutor                   1762       -1         6661      
86         ChessChildren             1747       9          15316     
87         KnightlessKid             1746       150        98        
88         baby_eubos                1744       -15        5254      
89         The_Marcus                1743       7          607       
90         Fisk_Bot                  1740       10         225       
91         melsh_bot                 1732       25         4044      
92         NatesBot                  1727       0          10        
93         sun_bird                  1721       -24        26        
94         ChamberiAjedrez           1685       190        429       
95         dlvc-bot                  1685       46         178       
96         Humaia                    1682       78         405       
97         rudim-bot                 1680       10         155       
98         maia1                     1666       11         122746    
99         maia5                     1648       8          39111     
100        maia9                     1626       -15        60615     
101        ZE_ROOK                   1615       -11        1761      
102        DavidsGuterBot            1608       -5         6027      
103        sargon-3ply               1582       16         1241      
104        sargon-4ply               1569       -1         1610      
105        turochamp-2ply            1549       -5         1479      
106        feeks99                   1517       -3         297       
107        RoundMoundOfRebounds      1505       -1         1281      
108        anti-bot                  1500       0          0         
109        CatNail                   1500       0          0         
110        Dummyette                 1500       0          0         
111        kireevi                   1500       0          0         
112        LeelaRogue                1500       0          0         
113        Lurch_0                   1500       0          0         
114        Lurch_1                   1500       0          0         
115        NilatacBot                1500       0          0         
116        WorstFish                 1500       0          0         
117        sargon-2ply               1499       24         2156      
118        turochamp-1ply            1492       -13        1834      
119        monchester                1490       -5         2389      
120        GuineaBot3                1465       0          6         
121        yeoldwiz                  1450       18         791       
122        sixteen-sixty             1434       0          3         
123        StupidChessRobot          1417       -2         432       
124        botTideEval               1402       5          1217      
125        schnecken_bot             1387       -22        968       
126        TurtleBot                 1381       2          5036      
127        dragobot                  1371       -264       35        
128        sargon-1ply               1369       4          4305      
129        LISEBOT                   1328       0          6         
130        OhniBOT                   1327       28         492       
131        CHoMPBoT                  1299       3          956       
132        HulkBot                   1292       -43        1185      
133        pawnrobot                 1277       5          3801      
134        ABotWith3200Rating        1267       -4         132       
135        knucklefish               1261       -9         2735      
136        SxCapture                 1234       -11        252       
137        bobandi                   1221       -13        1078      
138        G0thamB0t                 1208       0          7         
139        SxRandom                  1079       -167       28        
140        Boris-Trapsky             991        307        95        
141        JustinBot                 947        -93        30        
