Rank       Bot                       Rating     Prog       Games     
1          VariantsBot               2180       -11        65        
2          ResoluteBot               2150       -3         992       
3          Nikitosikbot              2146       2          986       
4          YoBot_v2                  2113       -6         1335      
5          ToromBot                  2109       -12        654       
6          Shineshou90_BOT           2099       4          541       
7          RaspFish                  2061       0          825       
8          chessfyBOT                2060       -14        16        
9          FireFishBOT_v2            1886       0          6         
10         OpeningsBot               1798       6          623       
11         Cheng-4                   1709       15         1060      
12         eubos                     1667       0          2         
13         clueless-bot              1558       -14        542       
14         feeks99                   1479       1          88        
15         FataliiBot                1406       7          3837      
16         GarboBot                  1309       0          2         
17         DavidsGuterBot            1308       0          7         
18         GuineaBot3                1190       0          8         
19         schnecken_bot             1182       0          1         
20         Jobabot                   1110       0          1         
21         Demolito_L6               1099       -20        96        
22         Dummyette                 1097       -45        740       
23         Demolito_L5               1071       51         251       
24         botTideEval               980        12         36        
25         SxRandom                  974        0          5         
26         bobandi                   940        -9         12        
27         SxCapture                 869        -61        18        
28         pawnrobot                 860        -7         476       
