Rank       Bot                       Rating     Prog       Games     
1          bluefake                  2710       0          1         
2          ProteusSF-lite            2623       18         133       
3          ProteusSF-Open            2622       16         234       
4          ProteusSF-Turbo           2618       12         219       
5          ProteusSF                 2612       11         444       
6          LeelaMultiPoss            2595       24         30        
7          YoBot_v2                  2592       6          209       
8          ProteusSF-Godot           2575       2          137       
9          Nikitosikbot              2574       1          1166      
10         ToromBot                  2569       -43        18        
11         Shineshou90_BOT           2568       -2         205       
12         RaspFish                  2561       9          498       
13         caissa-ai                 2553       -6         633       
14         ResoluteBot               2551       29         575       
15         BabyUltimate              2481       223        18        
16         AKS-Mantissa              2385       -19        984       
17         ELO_1500                  2382       -8         95        
18         expositor                 2377       -8         1096      
19         LazyBot                   2342       6          194       
20         pawn_git                  2326       -7         191       
21         Cheng-4                   2301       18         1518      
22         catriever                 2261       0          149       
23         Weiawaga                  2256       3          5613      
24         FlamingDragon_9000        2238       -18        514       
25         FireFishBOT_v2            2194       0          3         
26         clueless-bot              2143       17         342       
27         TuksuBot                  2143       -4         967       
28         Pseudo-0                  2132       1          398       
29         Phalanx-XXV               2094       -32        351       
30         Boris-Trapsky             2072       -6         10348     
31         simpleEval                2071       -14        1829      
32         honzovy-sachy-2           2001       -9         688       
33         actual_magnus             2000       0          0         
34         Annie_Archy               2000       0          0         
35         bfiedler-bot              2000       0          0         
36         blundar_bot               2000       0          0         
37         botTideEval               2000       0          0         
38         caissa-test               2000       0          0         
39         charibot                  2000       0          0         
40         chessfyBOT                2000       0          0         
41         ChotEngine                2000       0          0         
42         CodingAdventureBot        2000       0          0         
43         dlvc-bot                  2000       0          0         
44         DonoChessBot              2000       0          0         
45         dragobot                  2000       0          0         
46         Fisk_Bot                  2000       0          0         
47         FlounderBot               2000       0          0         
48         halcyonbot                2000       0          0         
49         JustinBot                 2000       0          0         
50         KnightlessKid             2000       0          0         
51         knucklefish               2000       0          0         
52         LeaMoreau                 2000       0          0         
53         LilDoctorJank             2000       0          0         
54         NatesBot                  2000       0          0         
55         OpeningsBot               2000       0          0         
56         pawnrobot                 2000       0          0         
57         Ptit-biscuit              2000       0          0         
58         QuaviverBot               2000       0          0         
59         redtail-zero              2000       0          0         
60         ReinforcementTrial        2000       0          0         
61         rudim-bot                 2000       0          0         
62         StreamerVSChat            2000       0          0         
63         The_Marcus                2000       0          0         
64         eubos                     1963       -20        717       
65         Humaia-Strong             1961       -25        216       
66         HistoryExplorer           1954       21         180       
67         MaxtheDog                 1954       -6         175       
68         Nakshatra3                1950       74         162       
69         jangine                   1949       -17        270       
70         FataliiBot                1932       0          8         
71         GarboBot                  1924       -5         1679      
72         matmoi                    1924       28         14        
73         Lynx_BOT                  1913       14         799       
74         Elmichess                 1910       9          415       
75         BLANK_BOT                 1906       0          1         
76         zeekat                    1875       1          3019      
77         baby_eubos                1873       51         93        
78         AjedrezChamberi           1862       -14        61        
79         LazyBotJr                 1842       29         186       
80         AshNostromo               1840       0          7         
81         LeelaRogue                1794       3          621       
82         Demolito_L6               1789       0          11        
83         Demolito_L5               1772       -46        43        
84         Nc3Nc6Bot                 1768       5          22        
85         ChessChildren             1712       4          1172      
86         Virutor                   1708       -18        614       
87         HulkBot                   1684       -91        242       
88         sargon-3ply               1665       56         733       
89         sargon-4ply               1663       27         422       
90         LISEBOT                   1659       0          5         
91         notropis                  1653       34         111       
92         turochamp-2ply            1647       -8         748       
93         honzovy-sachy             1635       2          284       
94         likeawizard-bot           1634       25         18        
95         maia9                     1625       7          20728     
96         maia1                     1620       7          64076     
97         chat_bot                  1601       29         42        
98         ChamberiAjedrez           1590       -64        39        
99         yeoldwiz                  1587       11         306       
100        DragonflyBOT              1583       -23        201       
101        maia5                     1569       6          22824     
102        ZE_ROOK                   1558       20         103       
103        Dummyette                 1554       19         581       
104        Trollfish-Bot             1541       6          28        
105        StupidChessRobot          1540       0          9         
106        anti-bot                  1500       0          0         
107        bot_adario                1500       0          0         
108        CatNail                   1500       0          0         
109        fornax-engine             1500       0          0         
110        Hyperopic                 1500       0          0         
111        Jobabot                   1500       0          0         
112        Lurch_0                   1500       0          0         
113        Lurch_1                   1500       0          0         
114        monchester                1500       0          0         
115        myopic-bot                1500       0          0         
116        NilatacBot                1500       0          0         
117        odonata-bot               1500       0          0         
118        OhniBOT                   1500       0          0         
119        QueensGamBOT              1500       0          0         
120        sixteen-sixty             1500       0          0         
121        sun_bird                  1500       0          0         
122        VariantsBot               1500       0          0         
123        WorstFish                 1500       0          0         
124        Humaia                    1482       -34        1054      
125        feeks99                   1459       -94        27        
126        sargon-2ply               1445       20         1210      
127        turochamp-1ply            1387       17         799       
128        RoundMoundOfRebounds      1359       -10        118       
129        sargon-1ply               1349       -8         3265      
130        kireevi                   1348       -38        242       
131        TurtleBot                 1337       3          627       
132        melsh_bot                 1330       99         17        
133        DavidsGuterBot            1312       0          1         
134        ABotWith3200Rating        1265       -109       79        
135        schnecken_bot             1256       0          8         
136        GuineaBot3                1174       0          3         
137        bobandi                   1134       12         178       
138        CHoMPBoT                  1134       -8         176       
139        SxCapture                 988        16         403       
140        G0thamB0t                 949        -4         139       
141        SxRandom                  830        -17        128       
