Rank       Bot                       Rating     Prog       Games     
1          Nikitosikbot              2425       -3         184       
2          AjedrezChamberi           2408       178        47        
3          HulkBot                   2399       -140       22        
4          pawn_git                  2304       0          8         
5          ChamberiAjedrez           2281       -72        67        
6          GarboBot                  2241       47         45        
7          Jobabot                   2229       0          5         
8          Cheng-4                   2208       100        46        
9          bluefake                  2197       0          1         
10         Phalanx-XXV               2129       88         13        
11         zeekat                    2128       186        445       
12         Pseudo-0                  2101       -33        32        
13         ZE_ROOK                   2007       -37        12        
14         ABotWith3200Rating        2000       0          0         
15         actual_magnus             2000       0          0         
16         Annie_Archy               2000       0          0         
17         AshNostromo               2000       0          0         
18         baby_eubos                2000       0          0         
19         BabyUltimate              2000       0          0         
20         bfiedler-bot              2000       0          0         
21         BLANK_BOT                 2000       0          0         
22         botTideEval               2000       0          0         
23         caissa-test               2000       0          0         
24         catriever                 2000       0          0         
25         charibot                  2000       0          0         
26         chat_bot                  2000       0          0         
27         chessfyBOT                2000       0          0         
28         CHoMPBoT                  2000       0          0         
29         ChotEngine                2000       0          0         
30         CodingAdventureBot        2000       0          0         
31         DavidsGuterBot            2000       0          0         
32         Demolito_L5               2000       0          0         
33         Demolito_L6               2000       0          0         
34         DonoChessBot              2000       0          0         
35         dragobot                  2000       0          0         
36         FataliiBot                2000       0          0         
37         FireFishBOT_v2            2000       0          0         
38         Fisk_Bot                  2000       0          0         
39         FlounderBot               2000       0          0         
40         halcyonbot                2000       0          0         
41         HistoryExplorer           2000       0          0         
42         Humaia                    2000       0          0         
43         Humaia-Strong             2000       0          0         
44         jangine                   2000       0          0         
45         JustinBot                 2000       0          0         
46         KnightlessKid             2000       0          0         
47         knucklefish               2000       0          0         
48         LeaMoreau                 2000       0          0         
49         LeelaMultiPoss            2000       0          0         
50         LilDoctorJank             2000       0          0         
51         LISEBOT                   2000       0          0         
52         matmoi                    2000       0          0         
53         MaxtheDog                 2000       0          0         
54         NatesBot                  2000       0          0         
55         Nc3Nc6Bot                 2000       0          0         
56         notropis                  2000       0          0         
57         OpeningsBot               2000       0          0         
58         pawnrobot                 2000       0          0         
59         ProteusSF                 2000       0          0         
60         ProteusSF-Godot           2000       0          0         
61         ProteusSF-lite            2000       0          0         
62         ProteusSF-Open            2000       0          0         
63         ProteusSF-Turbo           2000       0          0         
64         Ptit-biscuit              2000       0          0         
65         QuaviverBot               2000       0          0         
66         RaspFish                  2000       0          0         
67         redtail-zero              2000       0          0         
68         ReinforcementTrial        2000       0          0         
69         rudim-bot                 2000       0          0         
70         Shineshou90_BOT           2000       0          0         
71         StreamerVSChat            2000       0          0         
72         StupidChessRobot          2000       0          0         
73         The_Marcus                2000       0          0         
74         Trollfish-Bot             2000       0          0         
75         YoBot_v2                  1984       -58        33        
76         honzovy-sachy             1953       55         40        
77         Virutor                   1934       40         86        
78         honzovy-sachy-2           1896       -19        40        
79         RoundMoundOfRebounds      1871       -325       14        
80         ChessChildren             1856       61         272       
81         Boris-Trapsky             1853       17         12        
82         yeoldwiz                  1798       -25        611       
83         maia5                     1792       30         18        
84         DragonflyBOT              1779       115        64        
85         caissa-ai                 1773       0          3         
86         blundar_bot               1717       0          5         
87         ELO_1500                  1706       0          6         
88         QueensGamBOT              1662       0          1         
89         Weiawaga                  1597       0          3         
90         dlvc-bot                  1592       0          4         
91         likeawizard-bot           1565       50         35        
92         maia9                     1545       53         19        
93         maia1                     1527       -18        265       
94         eubos                     1518       -153       23        
95         anti-bot                  1500       0          0         
96         bot_adario                1500       0          0         
97         CatNail                   1500       0          0         
98         clueless-bot              1500       0          0         
99         Elmichess                 1500       0          0         
100        expositor                 1500       0          0         
101        feeks99                   1500       0          0         
102        FlamingDragon_9000        1500       0          0         
103        fornax-engine             1500       0          0         
104        Hyperopic                 1500       0          0         
105        LazyBot                   1500       0          0         
106        LazyBotJr                 1500       0          0         
107        LeelaRogue                1500       0          0         
108        Lurch_0                   1500       0          0         
109        Lurch_1                   1500       0          0         
110        Lynx_BOT                  1500       0          0         
111        monchester                1500       0          0         
112        myopic-bot                1500       0          0         
113        Nakshatra3                1500       0          0         
114        NilatacBot                1500       0          0         
115        odonata-bot               1500       0          0         
116        OhniBOT                   1500       0          0         
117        ResoluteBot               1500       0          0         
118        sargon-1ply               1500       0          0         
119        sargon-2ply               1500       0          0         
120        sargon-3ply               1500       0          0         
121        sargon-4ply               1500       0          0         
122        simpleEval                1500       0          0         
123        sixteen-sixty             1500       0          0         
124        sun_bird                  1500       0          0         
125        SxCapture                 1500       0          0         
126        SxRandom                  1500       0          0         
127        ToromBot                  1500       0          0         
128        TuksuBot                  1500       0          0         
129        turochamp-1ply            1500       0          0         
130        turochamp-2ply            1500       0          0         
131        TurtleBot                 1500       0          0         
132        VariantsBot               1500       0          0         
133        WorstFish                 1500       0          0         
134        melsh_bot                 1494       0          2         
135        GuineaBot3                1451       0          2         
136        schnecken_bot             1382       71         30        
137        Dummyette                 1351       185        15        
138        AKS-Mantissa              1310       0          3         
139        bobandi                   1267       0          9         
140        kireevi                   1211       0          10        
141        G0thamB0t                 1133       -52        177       
