Rank       Bot                       Rating     Prog       Games     
1          VariantsBot               2754       1          1058      
2          ResoluteBot               2668       -25        15        
3          Nikitosikbot              2440       38         265       
4          ToromBot                  2415       -55        148       
5          YoBot_v2                  2394       163        28        
6          RaspFish                  2162       -21        229       
7          OpeningsBot               1843       -10        27        
8          pawnrobot                 1146       -21        702       
9          bobandi                   998        -32        35        
10         GuineaBot3                845        0          1         
11         SxRandom                  808        -18        39        
12         SxCapture                 805        -29        84        
