Rank       Bot                       Rating     Prog       Games     
1          VariantsBot               3019       2          1019      
2          ToromBot                  2829       -61        115       
3          Nikitosikbot              2734       25         246       
4          RaspFish                  2288       -31        228       
5          ResoluteBot               2155       0          2         
6          YoBot_v2                  2019       -70        19        
7          ChessChildren             1730       -15        429       
8          OpeningsBot               1477       13         15        
9          Cheng-4                   1362       0          1         
10         GuineaBot3                1248       0          2         
11         pawnrobot                 1166       32         511       
12         SxCapture                 1081       -8         87        
13         SxRandom                  965        -15        116       
