Rank       Bot                       Rating     Prog       Games     
1          VariantsBot               2579       -1         579       
2          ToromBot                  2332       3          113       
3          Nikitosikbot              2260       -62        223       
4          YoBot_v2                  2242       16         40        
5          ResoluteBot               2233       0          2         
6          RaspFish                  2152       22         233       
7          OpeningsBot               1791       -46        35        
8          DavidsGuterBot            1489       12         1735      
9          pawnrobot                 1185       0          1825      
10         GuineaBot3                1121       0          7         
11         bobandi                   1032       -29        15        
12         SxRandom                  907        -53        28        
13         SxCapture                 601        -18        61        
