Rank       Bot                       Rating     Prog       Games     
1          VariantsBot               2703       -8         3173      
2          ToromBot                  2571       -9         146       
3          Nikitosikbot              2560       -15        222       
4          RaspFish                  2550       -4         329       
5          YoBot_v2                  2287       34         20        
6          ResoluteBot               2225       0          2         
7          OpeningsBot               2178       -1         43        
8          pawnrobot                 1407       94         363       
9          GuineaBot3                1267       0          4         
10         SxRandom                  730        -18        80        
11         SxCapture                 667        -25        139       
