Rank       Bot                       Rating     Prog       Games     
1          caissa-ai                 3066       -22        1934      
2          ProteusSF-lite            3001       2          819       
3          ProteusSF-Turbo           3001       3          2499      
4          ProteusSF                 3000       4          555       
5          ProteusSF-Open            3000       -7         1132      
6          Nikitosikbot              2915       6          8731      
7          FireFishBOT_v2            2891       12         616       
8          ProteusSF-Godot           2888       13         138       
9          ToromBot                  2886       1          1806      
10         BabyUltimate              2870       15         100       
11         ReinforcementTrial        2869       6          5090      
12         YoBot_v2                  2866       -2         12924     
13         LeelaMultiPoss            2855       5          247       
14         Shineshou90_BOT           2854       -2         2503      
15         chessfyBOT                2845       -7         228       
16         ResoluteBot               2839       -5         5162      
17         RaspFish                  2819       -6         5471      
18         blundar_bot               2808       9          1032      
19         bluefake                  2724       0          8         
20         CodingAdventureBot        2624       2          216       
21         AKS-Mantissa              2609       -6         4034      
22         expositor                 2605       -5         4517      
23         LazyBot                   2598       -23        721       
24         pawn_git                  2560       7          1225      
25         catriever                 2551       8          187       
26         Weiawaga                  2522       -14        9799      
27         bot_adario                2499       12         1310      
28         Cheng-4                   2468       16         3135      
29         ELO_1500                  2439       19         2879      
30         OpeningsBot               2436       -9         227       
31         TuksuBot                  2418       -14        1961      
32         odonata-bot               2390       -12        3697      
33         Pseudo-0                  2370       -1         1078      
34         bfiedler-bot              2369       8          19        
35         Phalanx-XXV               2369       -22        864       
36         clueless-bot              2365       -9         744       
37         fornax-engine             2335       15         3632      
38         QuaviverBot               2326       0          2         
39         FlamingDragon_9000        2309       -12        1216      
40         simpleEval                2281       7          7509      
41         FataliiBot                2273       2          2554      
42         Nakshatra3                2273       20         818       
43         halcyonbot                2260       8          5993      
44         Boris-Trapsky             2221       -28        27364     
45         eubos                     2216       10         4204      
46         honzovy-sachy-2           2205       10         3548      
47         Elmichess                 2163       11         1413      
48         HistoryExplorer           2156       -3         1010      
49         matmoi                    2120       10         1129      
50         GarboBot                  2097       7          5963      
51         redtail-zero              2088       12         249       
52         rudim-bot                 2088       -124       40        
53         jangine                   2081       9          1658      
54         Hyperopic                 2079       2          350       
55         MaxtheDog                 2052       2          626       
56         LeaMoreau                 2048       -12        310       
57         Lynx_BOT                  2045       -6         39531     
58         AjedrezChamberi           2044       -9         114       
59         Humaia-Strong             2043       -30        606       
60         actual_magnus             2000       0          0         
61         Annie_Archy               2000       0          0         
62         botTideEval               2000       0          0         
63         caissa-test               2000       0          0         
64         charibot                  2000       0          0         
65         DonoChessBot              2000       0          0         
66         knucklefish               2000       0          0         
67         LilDoctorJank             2000       0          0         
68         StreamerVSChat            2000       0          0         
69         BLANK_BOT                 1999       19         1517      
70         Jobabot                   1974       26         88        
71         LazyBotJr                 1974       -29        1254      
72         Nc3Nc6Bot                 1963       -23        1513      
73         LeelaRogue                1957       -14        2210      
74         myopic-bot                1944       6          320       
75         zeekat                    1932       13         8213      
76         baby_eubos                1930       -20        884       
77         likeawizard-bot           1872       -38        474       
78         Demolito_L6               1862       24         241       
79         Ptit-biscuit              1858       -8         84        
80         notropis                  1856       4          2212      
81         Trollfish-Bot             1847       -34        173       
82         Fisk_Bot                  1813       -19        224       
83         FlounderBot               1809       8          143       
84         Virutor                   1781       -32        3164      
85         honzovy-sachy             1779       16         914       
86         ChessChildren             1771       20         4383      
87         sun_bird                  1766       -108       24        
88         DragonflyBOT              1758       -23        430       
89         KnightlessKid             1752       25         81        
90         Demolito_L5               1741       3          736       
91         dlvc-bot                  1736       -7         80        
92         AshNostromo               1732       -22        1216      
93         NatesBot                  1718       -34        29        
94         melsh_bot                 1708       -18        232       
95         The_Marcus                1697       78         32        
96         Dummyette                 1678       23         2923      
97         maia9                     1675       31         83035     
98         HulkBot                   1666       -32        404       
99         yeoldwiz                  1637       16         634       
100        maia5                     1607       -9         100334    
101        ChamberiAjedrez           1596       -40        152       
102        sargon-3ply               1570       14         1156      
103        sargon-4ply               1559       6          574       
104        ZE_ROOK                   1521       21         396       
105        QueensGamBOT              1518       0          3         
106        dragobot                  1517       -127       44        
107        turochamp-2ply            1501       3          1071      
108        anti-bot                  1500       0          0         
109        CatNail                   1500       0          0         
110        Lurch_0                   1500       0          0         
111        Lurch_1                   1500       0          0         
112        monchester                1500       0          0         
113        NilatacBot                1500       0          0         
114        sixteen-sixty             1500       0          0         
115        VariantsBot               1500       0          0         
116        WorstFish                 1500       0          0         
117        DavidsGuterBot            1484       18         597       
118        maia1                     1477       -22        229396    
119        feeks99                   1459       -8         101       
120        RoundMoundOfRebounds      1447       21         342       
121        sargon-2ply               1429       -7         3301      
122        turochamp-1ply            1401       7          1554      
123        StupidChessRobot          1360       -18        35        
124        Humaia                    1359       9          2153      
125        chat_bot                  1338       10         209       
126        TurtleBot                 1320       -5         2313      
127        ChotEngine                1300       0          1         
128        LISEBOT                   1273       0          2         
129        pawnrobot                 1269       -11        620       
130        ABotWith3200Rating        1238       10         59        
131        schnecken_bot             1226       21         323       
132        sargon-1ply               1185       -17        8389      
133        GuineaBot3                1179       0          2         
134        CHoMPBoT                  1164       17         495       
135        OhniBOT                   1155       12         465       
136        kireevi                   1120       41         559       
137        bobandi                   867        22         706       
138        SxCapture                 810        -17        237       
139        SxRandom                  796        -15        70        
140        G0thamB0t                 767        -10        289       
141        JustinBot                 744        -27        14        
