Rank       Bot                       Rating     Prog       Games     
1          VariantsBot               2759       -5         2110      
2          Nikitosikbot              2639       58         391       
3          ToromBot                  2512       -14        326       
4          RaspFish                  2486       -4         190       
5          YoBot_v2                  2257       7          36        
6          ResoluteBot               2150       0          2         
7          OpeningsBot               1786       22         59        
8          clueless-bot              1685       0          1         
9          DavidsGuterBot            1478       11         607       
10         pawnrobot                 1174       -12        893       
11         GuineaBot3                972        0          10        
12         bobandi                   780        -14        107       
13         SxRandom                  674        -7         13        
14         SxCapture                 629        -16        103       
